Epoch;MSE;ERROR;Alpha: 0,95;Lambda: 1e-06
97.800;0,00138716;0
97.900;0,00138601;0
98.000;0,00138477;0
98.100;0,00138363;0
98.200;0,0013824;0
98.300;0,00138126;0
98.400;0,00138003;0
98.500;0,0013789;0
98.600;0,00137767;0
98.700;0,00137655;0
98.800;0,00137533;0
98.900;0,0013742;0
99.000;0,00137299;0
99.100;0,00137187;0
99.200;0,00137067;0
99.300;0,00136956;0
99.400;0,00136835;0
99.500;0,00136725;0
99.600;0,00136605;0
99.700;0,00136495;0
99.800;0,00136376;0
99.900;0,00136266;0
100.000;0,00136147;0
100.100;0,00136038;0
100.200;0,0013592;0
100.300;0,00135811;0
100.400;0,00135694;0
100.500;0,00135586;0
100.600;0,00135469;0
100.700;0,00135361;0
100.800;0,00135245;0
100.900;0,00135137;0
101.000;0,00135021;0
101.100;0,00134915;0
101.200;0,00134799;0
101.300;0,00134693;0
101.400;0,00134578;0
101.500;0,00134472;0
101.600;0,00134358;0
101.700;0,00134252;0
101.800;0,00134138;0
101.900;0,00134033;0
102.000;0,0013392;0
102.100;0,00133815;0
102.200;0,00133703;0
102.300;0,00133599;0
102.400;0,00133486;0
102.500;0,00133383;0
102.600;0,00133271;0
102.700;0,00133168;0
102.800;0,00133056;0
102.900;0,00132953;0
103.000;0,00132843;0
103.100;0,0013274;0
103.200;0,0013263;0
103.300;0,00132528;0
103.400;0,00132418;0
103.500;0,00132317;0
103.600;0,00132207;0
103.700;0,00132106;0
103.800;0,00131997;0
103.900;0,00131897;0
104.000;0,00131788;0
104.100;0,00131688;0
104.200;0,0013158;0
104.300;0,00131481;0
104.400;0,00131373;0
104.500;0,00131274;0
104.600;0,00131167;0
104.700;0,00131068;0
104.800;0,00130961;0
104.900;0,00130863;0
105.000;0,00130757;0
105.100;0,00130659;0
105.200;0,00130553;0
105.300;0,00130456;0
105.400;0,0013035;0
105.500;0,00130253;0
105.600;0,00130148;0
105.700;0,00130052;0
105.800;0,00129947;0
105.900;0,00129851;0
106.000;0,00129747;0
106.100;0,00129651;0
106.200;0,00129548;0
106.300;0,00129452;0
106.400;0,00129349;0
106.500;0,00129254;0
106.600;0,00129151;0
106.700;0,00129057;0
106.800;0,00128954;0
106.900;0,0012886;0
107.000;0,00128758;0
107.100;0,00128665;0
107.200;0,00128563;0
107.300;0,0012847;0
107.400;0,00128369;0
107.500;0,00128276;0
107.600;0,00128175;0
107.700;0,00128083;0
107.800;0,00127982;0
107.900;0,0012789;0
108.000;0,0012779;0
108.100;0,00127698;0
108.200;0,00127599;0
108.300;0,00127508;0
108.400;0,00127409;0
108.500;0,00127318;0
108.600;0,00127219;0
108.700;0,00127128;0
108.800;0,0012703;0
108.900;0,0012694;0
109.000;0,00126842;0
109.100;0,00126752;0
109.200;0,00126655;0
109.300;0,00126565;0
109.400;0,00126468;0
109.500;0,00126379;0
109.600;0,00126283;0
109.700;0,00126194;0
109.800;0,00126098;0
109.900;0,00126009;0
110.000;0,00125913;0
110.100;0,00125825;0
110.200;0,0012573;0
110.300;0,00125642;0
110.400;0,00125547;0
110.500;0,0012546;0
110.600;0,00125365;0
110.700;0,00125278;0
110.800;0,00125184;0
110.900;0,00125097;0
111.000;0,00125003;0
111.100;0,00124917;0
111.200;0,00124824;0
111.300;0,00124738;0
111.400;0,00124645;0
111.500;0,00124559;0
111.600;0,00124466;0
111.700;0,00124381;0
111.800;0,00124289;0
111.900;0,00124204;0
112.000;0,00124112;0
112.100;0,00124027;0
112.200;0,00123936;0
112.300;0,00123851;0
112.400;0,0012376;0
112.500;0,00123676;0
112.600;0,00123585;0
112.700;0,00123502;0
112.800;0,00123411;0
112.900;0,00123328;0
113.000;0,00123238;0
113.100;0,00123155;0
113.200;0,00123065;0
113.300;0,00122982;0
113.400;0,00122893;0
113.500;0,00122811;0
113.600;0,00122722;0
113.700;0,0012264;0
113.800;0,00122551;0
113.900;0,00122469;0
114.000;0,00122381;0
114.100;0,001223;0
114.200;0,00122212;0
114.300;0,00122131;0
114.400;0,00122043;0
114.500;0,00121962;0
114.600;0,00121875;0
114.700;0,00121794;0
114.800;0,00121708;0
114.900;0,00121627;0
115.000;0,00121541;0
115.100;0,00121461;0
115.200;0,00121375;0
115.300;0,00121295;0
115.400;0,00121209;0
115.500;0,0012113;0
115.600;0,00121045;0
115.700;0,00120966;0
115.800;0,00120881;0
115.900;0,00120802;0
116.000;0,00120717;0
116.100;0,00120639;0
116.200;0,00120554;0
116.300;0,00120476;0
